"iteration","thresh.200","mid","thresh.300","adj_r2","model_p","df_resid","jb_pval","dw_pval"
1,0.477319859256523,0.596083804899828,0.714847750543134,0.999921794780595,1.91344125602915e-100,48,8.45948888716919e-09,2.13548363606542e-06
2,0.476942995038277,0.595574513626152,0.714206032214027,0.999935249508263,2.06057467459437e-102,48,0.000483213023376505,9.8633316351594e-25
3,0.477581262126367,0.595432292449837,0.713283322773306,0.999936728585978,1.18341023964443e-102,48,0.00327074918403725,2.9505622347763e-29
4,0.47708263033142,0.595263277445337,0.713443924559254,0.999959286683436,3.00486742672407e-107,48,0.0458206031200151,1.36590042118445e-18
5,0.477539993597028,0.595681255563382,0.713822517529736,0.99991122178229,4.01341149104629e-99,48,1.25284549401528e-09,5.30420306055018e-18
6,0.477085568727792,0.595228649134795,0.713371729541799,0.999950182174553,3.81404668314399e-105,48,0.0395935584996904,2.04041715773389e-22
7,0.477316247485792,0.59567373752405,0.714031227562307,0.999940062033311,3.22850762982679e-103,48,0.00127041861098476,2.61649266808136e-23
8,0.477599954608631,0.595526524026235,0.713453093443839,0.999960008598547,1.95590865743807e-107,48,0.00116993036585933,1.88651101381697e-12
9,0.477390304340946,0.595410277102364,0.713430249863781,0.999936205959411,1.44170733786737e-102,48,0.0160161719581744,7.13674504064154e-23
10,0.47724114469779,0.595648355266027,0.714055565834264,0.999936628200581,1.22930403764319e-102,48,1.07589615691017e-05,6.49136050241132e-16
11,0.47709406952462,0.595512329213017,0.713930588901413,0.99994409207218,6.0745533213274e-104,48,0.00101636779737879,4.79496634551903e-24
12,0.477320627288088,0.595655164041583,0.713989700795079,0.999949128758928,6.30213659159434e-105,48,0.0325221101951516,2.8035471068085e-24
13,0.476611129742708,0.595390391110962,0.714169652479217,0.99992886635497,1.96769363133151e-101,48,1.11022302462516e-16,7.38606046375882e-20
14,0.476878621179216,0.595600652770126,0.714322684361036,0.999947154851884,1.57135782171251e-104,48,0.0058850932498522,7.49641722203861e-18
15,0.477354949189493,0.595830967934586,0.714306986679679,0.999932868905479,4.90145043438057e-102,48,3.6890271899459e-06,1.41955816524744e-23
16,0.477901990878947,0.596313667375288,0.714725343871628,0.999928721030321,2.06647383701961e-101,48,2.52322969048757e-05,1.01896892958516e-25
17,0.477705126203212,0.595904793782616,0.71410446136202,0.999937452313801,8.97892146338477e-103,48,0.00015743433875659,1.29692732193563e-25
18,0.477593252672392,0.595782470105171,0.71397168753795,0.999956232187699,1.7055580800196e-106,48,0.0251814550316681,1.17953549217177e-17
19,0.477101131922969,0.595379665371828,0.713658198820687,0.999933674040315,3.6691038099299e-102,48,4.80526769435219e-05,2.29631207488385e-15
20,0.477638053031982,0.595414662614504,0.713191272197025,0.999941153238093,2.0772804767648e-103,48,0.000108795716579735,1.67475881371594e-12
21,0.47708569736671,0.595404793881163,0.713723890395615,0.99994131452316,1.94486169172838e-103,48,0.0164776703991795,2.45673578077938e-28
22,0.477714057202347,0.595868988743544,0.714023920284742,0.999934322993541,2.89784554004973e-102,48,0,8.39530796145276e-13
23,0.477437691247609,0.595741872519863,0.714046053792116,0.99993880634219,5.31016304606456e-103,48,0.00676599819969148,1.3336713477009e-23
24,0.476720120264878,0.59557592597363,0.714431731682382,0.99994234581794,1.27084554363978e-103,48,0.00390835556829394,2.62199944791402e-20
25,0.477250344257683,0.595617258498962,0.713984172740241,0.999921040613317,2.40906183745969e-100,48,2.07856848344345e-06,4.39182970464185e-11
26,0.477245609492685,0.595179932565891,0.713114255639098,0.999930738708156,1.0373604344251e-101,48,0.00222186571266303,4.70452267059911e-16
27,0.477213194842256,0.596082088781483,0.71495098272071,0.999948929433423,6.92226281826466e-105,48,0.0330886409694985,3.52552076464348e-17
28,0.477639898093024,0.595538613907956,0.713437329722888,0.999923984473526,9.67859553041777e-101,48,2.69042325085067e-08,2.28583779273561e-18
29,0.477217645570954,0.595478281915416,0.713738918259877,0.999927405996827,3.20460247115685e-101,48,5.37714317516702e-12,7.57433424265517e-18
30,0.477824750235693,0.596161390102135,0.714498029968577,0.999933560481691,3.82287768754958e-102,48,3.79605385314452e-06,1.49341343066906e-08
31,0.477611938656044,0.596116646051757,0.71462135344747,0.999947313584889,1.46190709863361e-104,48,0.000222247079701754,2.40819188167035e-11
32,0.477255873565524,0.595519104705371,0.713782335845218,0.999946170049334,2.44752979844312e-104,48,0.0121372321237321,2.17867748993923e-21
33,0.477017675631599,0.595307180319952,0.713596685008306,0.999937724798943,8.08569713291415e-103,48,0.0152729433865804,1.016431871306e-24
34,0.477446124501169,0.595635184076519,0.71382424365187,0.999942944104344,9.89385948163319e-104,48,0.00346290892677148,7.26224358573459e-13
35,0.476948159921235,0.595548540082074,0.714148920242913,0.999944583190813,4.91528989901905e-104,48,0.0198742716807931,3.5072844703013e-26
36,0.477557261671989,0.596039893523057,0.714522525374126,0.999947090895488,1.61764084627623e-104,48,0.0165925747745537,3.00418668954747e-22
37,0.477102001237807,0.595652305361535,0.714202609485264,0.999927898757258,2.72133598106639e-101,48,1.96003335346528e-05,5.34974926269908e-23
38,0.477218689452679,0.595516590520276,0.713814491587873,0.999950227469422,3.73168456677089e-105,48,0.0526215456505589,6.07198846930553e-18
39,0.477383923539903,0.595778078816054,0.714172234092206,0.999921983640061,1.80556764215124e-100,48,0.000242589446239783,9.57517164255399e-25
40,0.477064047319654,0.595706209813681,0.714348372307708,0.999954242967849,4.95608933622095e-106,48,0.00183630494829345,9.98796528488404e-16
41,0.477346617358077,0.59534039896302,0.713334180567962,0.999935957745406,1.5825346100936e-102,48,2.96300227020652e-06,9.77361125547942e-25
42,0.477110025266388,0.594938938839585,0.712767852412783,0.999932508277578,5.57400681732938e-102,48,1.11022302462516e-16,1.92918556622153e-15
43,0.477294089692314,0.595346190928625,0.713398292164937,0.999937774393494,7.93256170909865e-103,48,0.000883738128690026,1.11341593052289e-20
44,0.477321439953847,0.595900549380746,0.714479658807644,0.999946367486905,2.24092810766768e-104,48,0.0070868265531614,4.19223170944202e-20
45,0.477781150649305,0.595573928701252,0.713366706753198,0.999914564116846,1.59781463280747e-99,48,0.000551809496179279,1.48963541806347e-29
46,0.477547516918125,0.595848236451569,0.714148955985012,0.999942639534274,1.12423524898393e-103,48,0.0118158307643131,2.31165798127409e-17
47,0.477268909661917,0.59601930186828,0.714769694074643,0.999949226571838,6.01765796532369e-105,48,0.0506853203992964,1.48457829243582e-25
48,0.477188968738897,0.59593403105328,0.714679093367662,0.999934031089086,3.22328307682786e-102,48,0.00858923799456379,1.54704256332191e-22
49,0.477449075262164,0.596098814598422,0.714748553934679,0.999950388789613,3.45197237656441e-105,48,0.0484337242909602,5.68896599168e-30
50,0.477692879113144,0.596055118389106,0.714417357665068,0.999928633492719,2.12824993986634e-101,48,0.00342792159409788,2.08390368678838e-27
51,0.47733915785549,0.595163280810639,0.712987403765788,0.99993665348473,1.21758661805854e-102,48,1.99961129337956e-05,7.66117803639796e-21
52,0.477681225251308,0.595833778061568,0.713986330871829,0.999951404406157,2.10124553157043e-105,48,0.00597394053657041,1.65392031859211e-18
53,0.477352542980572,0.595459858315296,0.71356717365002,0.999938070567795,7.0743156959974e-103,48,0.0377525026460966,7.01735839938303e-25
54,0.477562894331474,0.59604967639189,0.714536458452306,0.999955313232727,2.80831016603676e-106,48,3.09834143008558e-06,8.65278635857988e-14
55,0.477498329256489,0.595989882244395,0.7144814352323,0.99993545151975,1.9116973197522e-102,48,1.96819893716338e-10,3.85673509694127e-19
56,0.477464594427288,0.59595854722663,0.714452500025972,0.999936497634257,1.29155266461684e-102,48,0.00382336389421112,7.85577814225053e-24
57,0.476912343265424,0.595215054381877,0.71351776549833,0.999920042334846,3.256868709641e-100,48,0.00481514820506523,1.93198619181022e-23
58,0.477049411934305,0.595732691181739,0.714415970429172,0.999936185313155,1.45294736337485e-102,48,0.0542057490571268,1.62728243451539e-26
59,0.477777589219481,0.595705657092428,0.713633724965376,0.99993881686986,5.28828107141991e-103,48,1.63169477929159e-12,1.2304897861297e-09
60,0.47758149696637,0.595690651945564,0.713799806924758,0.999957156146799,1.02205607411428e-106,48,0.0564212023055267,1.73371122607281e-13
61,0.47774726586831,0.595847206013975,0.71394714615964,0.99995627348247,1.66735369504451e-106,48,0.0145252744261791,2.20990259151814e-18
62,0.477060408196226,0.5956179277407,0.714175447285173,0.999934772317982,2.4576579646863e-102,48,0.00789387871375546,3.31936194376751e-22
63,0.477435265309569,0.595761650190534,0.714088035071499,0.999940347038293,2.87953176368672e-103,48,0.000685433328820539,1.60016954520541e-15
64,0.477722845030783,0.595857460592231,0.713992076153678,0.999938529986469,5.91661614799719e-103,48,0.00568179546546965,7.88933037642608e-23
65,0.47721587132008,0.595751009183418,0.714286147046756,0.999954997477719,3.32533311102061e-106,48,0.0609276796238478,3.74342247677474e-21
66,0.477558728930683,0.595987004317219,0.714415279703755,0.999946946704855,1.72682760153201e-104,48,0.0177825486399782,4.43802217721124e-20
67,0.477938242218521,0.596140927763881,0.71434361330924,0.99993020260622,1.24823581942138e-101,48,0.0012129285126441,2.37530957332049e-22
68,0.477270503134262,0.595577898610705,0.713885294087148,0.999934308799445,2.91291373334952e-102,48,0.0540531235617319,1.31902031820176e-28
69,0.477366953319112,0.595205696172763,0.713044439026415,0.999940308405503,2.92462334798815e-103,48,0.00268161814687673,8.52392078544366e-30
70,0.477474327166573,0.595531557329199,0.713588787491824,0.999934719793285,2.50559726760075e-102,48,0.00159682620228585,1.75442676171479e-23
71,0.477500474288567,0.595629709444042,0.713758944599516,0.999941136962144,2.0911133561454e-103,48,0.00823679384491283,2.23130629359668e-25
72,0.476891777683944,0.595584933890758,0.714278090097571,0.999953329564045,7.96444555746553e-106,48,0.0100889243539215,1.07407055965451e-14
73,0.47749510454603,0.596206471426237,0.714917838306443,0.999943598986077,7.49961248108637e-104,48,8.49813752812345e-07,5.86138853859951e-14
74,0.477049483109999,0.595578485988949,0.714107488867899,0.999927205639034,3.42374969897453e-101,48,0.000140549829613201,8.2482191517534e-21
75,0.477378084653666,0.595940004977441,0.714501925301217,0.99994145426241,1.83670814659356e-103,48,0.000529575961193629,3.35352780770667e-18
76,0.477035519235092,0.595754189638989,0.714472860042885,0.999931659223884,7.52442203026363e-102,48,5.03332153733993e-10,6.59900904438637e-16
77,0.47725484632656,0.595883955788785,0.714513065251009,0.999932724576528,5.16071332007593e-102,48,1.85119697349023e-11,2.34717042392128e-14
78,0.477157121728438,0.595207687095446,0.713258252462453,0.999945357008192,3.50735613089597e-104,48,0.0466909177790235,2.36785314956803e-21
79,0.477582873052399,0.595928614894922,0.714274356737445,0.999943209760583,8.8454884498109e-104,48,0.00015602169986495,2.45125429955012e-22
80,0.477221933492037,0.595568931414402,0.713915929336767,0.999942436694542,1.22363129238738e-103,48,0.011753190278599,1.20904825470123e-21
81,0.477063786874,0.595454398173938,0.713845009473875,0.999958899702921,3.77075998851756e-107,48,0.0597641036266624,5.20238352680905e-23
82,0.477964749291576,0.596125647473185,0.714286545654794,0.999943708437683,7.15800803436179e-104,48,1.70970664293835e-05,2.88657915677912e-18
83,0.477587731650731,0.59600120430159,0.714414676952448,0.999941547937353,1.76745984092428e-103,48,0.016664404349651,1.97273300654488e-15
84,0.477329445559097,0.595608017775837,0.713886589992578,0.999920175852366,3.12882079377937e-100,48,2.89543944376192e-10,1.14489267695584e-17
85,0.477485522968384,0.595782122926849,0.714078722885314,0.999941458574364,1.83346428003905e-103,48,0.00763205899835706,1.45762170587939e-18
86,0.477429657203373,0.596096726021088,0.714763794838803,0.999929626464101,1.52048011733985e-101,48,0.000379933792144627,2.84892698579436e-25
87,0.477450426779537,0.595787581101235,0.714124735422934,0.99994248453799,1.19945479065205e-103,48,0.0826058393285979,1.29890106487775e-25
88,0.477821680839681,0.596438361839256,0.715055042838831,0.999927018557854,3.64128707193906e-101,48,1.11022302462516e-16,2.24763300868592e-21
89,0.47735938955174,0.595799916923121,0.714240444294501,0.999927627418831,2.97806176148564e-101,48,0.00133312765242799,4.47501233881527e-26
90,0.476884975061028,0.59564693927796,0.714408903494893,0.999939249076362,4.46090611511611e-103,48,0.00223007637485007,8.71232433317506e-25
91,0.477591526520052,0.595926589502063,0.714261652484074,0.999934094930925,3.14924581003499e-102,48,0.0181250293722092,1.96000751531469e-19
92,0.477367254908162,0.595618312075544,0.713869369242925,0.999949558686544,5.14073261447458e-105,48,0.000645410082313003,1.57760560466712e-19
93,0.476878811700954,0.595421063047053,0.713963314393152,0.999928351335292,2.33964781329373e-101,48,0.00050197383183781,9.96333642781045e-19
94,0.477475314484204,0.595746904763256,0.714018495042309,0.999928275820589,2.39955217106798e-101,48,0.020734761171455,2.8764944120494e-20
95,0.477199127672821,0.595585972189969,0.713972816707117,0.999949457952115,5.39286800296026e-105,48,0.0501586903722357,1.5370511517154e-27
96,0.477472372465199,0.59548999332602,0.713507614186842,0.999940865138327,2.33560585032307e-103,48,0.0223857625117729,1.25657949435877e-24
97,0.47691949941629,0.595432593911514,0.713945688406737,0.999938957067289,5.00499062649975e-103,48,0.00445088772897351,1.048053783206e-24
98,0.477625067476383,0.595674191317254,0.713723315158124,0.999945240200628,3.69178987258196e-104,48,0.0278618173475053,2.28428986949664e-27
99,0.477358053577842,0.596003382199214,0.714648710820585,0.999947225807963,1.52149469668958e-104,48,0.0647561219876576,1.1374316397132e-18
100,0.477009696419843,0.595342023559027,0.71367435069821,0.999939898602166,3.44654105068552e-103,48,0.0397257174247156,9.34623746640096e-25
