"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_fia" "ABAM" "ABCO" "ABGR" "ABPR" "CHNO" "CADE27" "PISI" "PICO" "PILA" "PIMO3" "PIPO" "PSME" "TABR2" "THPL" "TSHE" "TSME" "POTR5" "POBAT" "QUGA4"
588310 -122.59 46.59 270 0.39 "strong" -70 112.669640401966 88310 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
588250 -122.65 46.58 270 0.39 "strong" -70 115.472141316222 88250 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
590371 -122.14 47 440 0.39 "strong" -240 59.428686661763 90371 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
588479 -122.55 46.63 310 0.39 "strong" -110 107.409560587208 88479 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
588213 -122.47 46.57 240 0.4 "strong" -40 111.705100920233 88213 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
587616 -122.66 46.45 210 0.4 "strong" -10 129.116871593044 87616 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
588021 -122.59 46.53 210 0.41 "strong" -10 118.888435701018 88021 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
592288 -122.02 47.36 150 0.41 "strong" 50 18.8988325833933 92288 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
587733 -122.66 46.47 240 0.41 "strong" -40 127.049472700257 87733 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
588607 -122.62 46.65 300 0.41 "strong" -100 107.427707382372 88607 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0
595435 -121.91 47.96 160 0.41 "strong" 40 48.7455436604666 95435 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0
598485 -121.94 48.55 150 0.42 "strong" 50 113.66688237516 98485 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
598212 -122 48.5 30 0.42 "strong" 170 107.918941309898 98212 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
600813 -122.31 48.97 30 0.43 "strong" 170 161.455670127971 100813 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
589149 -122.43 46.75 400 0.43 "strong" -200 91.7267915982852 89149 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
598889 -122.1 48.62 150 0.43 "strong" 50 121.330592199183 98889 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0
589359 -122.32 46.79 370 0.43 "strong" -170 85.0371254618525 89359 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
588547 -122.55 46.64 330 0.43 "strong" -130 106.373821390961 88547 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
587227 -122.7 46.37 210 0.43 "strong" -10 138.519356463855 87227 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
600688 -122.28 48.94 160 0.43 "strong" 40 157.874779517714 100688 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
600956 -122.39 48.99 30 0.44 "strong" 170 164.509471863908 100956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
586956 -122.72 46.32 180 0.44 "strong" 20 144.258994109269 86956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
600733 -122.23 48.95 150 0.44 "strong" 50 158.596280278553 100733 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
594979 -121.84 47.87 100 0.44 "strong" 100 40.5547240718475 94979 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
592913 -122.03 47.46 130 0.45 "strong" 70 7.75669490434666 92913 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
598265 -121.89 48.51 90 0.45 "strong" 110 109.531879561374 98265 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
591697 -121.97 47.25 274 0.45 "strong" -74 31.4756105578938 91697 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
597300 -122.09 48.32 180 0.45 "strong" 20 87.9703827855687 97300 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
589432 -122.59 46.81 360 0.46 "strong" -160 90.4184143753393 89432 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
599546 -122.19 48.73 200 0.46 "strong" 0 133.965683726832 99546 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0
586872 -122.69 46.3 170 0.46 "strong" 30 145.537404970645 86872 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
589555 -122.5 46.83 370 0.46 "strong" -170 85.4168875088851 89555 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
590749 -122.09 47.07 360 0.46 "strong" -160 51.2799948060217 90749 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
590717 -122.12 47.06 450 0.47 "strong" -250 52.6185458224904 90717 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
587335 -122.68 46.39 150 0.47 "strong" 50 135.891496500868 87335 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
600155 -122.29 48.84 180 0.47 "strong" 20 146.930588252022 100155 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
592470 -122.06 47.39 170 0.47 "strong" 30 15.6503758526357 92470 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
589739 -122.17 46.87 420 0.47 "strong" -220 74.0570946549563 89739 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
588972 -122.66 46.72 300 0.48 "strong" -100 101.762127782942 88972 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
599855 -122.19 48.79 120 0.48 "strong" 80 140.613658518733 99855 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
597127 -122.12 48.29 220 0.48 "strong" -20 84.7779311057615 97127 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
586907 -122.72 46.31 150 0.49 "strong" 50 145.297506758029 86907 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
593683 -122.04 47.61 120 0.49 "strong" 80 8.93749684106455 93683 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
588212 -122.48 46.57 190 0.49 "strong" 10 111.932527759225 88212 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
