"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_biome" "zone" "biome_description"
417149 -121.95 49.05 45 0.47 "strong" 155 169.167423064603 1549767 36 "Sitka_Coastal_Conifer_Forest"
419917 -122.87 49.17 80 0.47 "strong" 120 192.619207480829 1560879 36 "Sitka_Coastal_Conifer_Forest"
419823 -122.49 49.05 93 0.48 "strong" 107 172.396326891 1560491 36 "Sitka_Coastal_Conifer_Forest"
409275 -122.65 49.05 41 0.48 "strong" 159 175.110906196905 1518377 31 "Oregonian_Coastal_Conifer_Forest"
160702 -122.09 48.89 182 0.48 "strong" 18 151.313960090194 524163 21 "Cascade-Sierran_Subalpine_Conifer_Forest"
419871 -122.57 49.1 24 0.49 "strong" 176 179.070704617076 1560683 36 "Sitka_Coastal_Conifer_Forest"
149810 -122.74 46.27 208 0.49 "strong" -8 150.00133161397 481079 31 "Oregonian_Coastal_Conifer_Forest"
150367 -122.35 48.96 34 0.49 "strong" 166 160.758864866093 483283 31 "Oregonian_Coastal_Conifer_Forest"
419821 -122.54 49.05 116 0.49 "strong" 84 173.161800050967 1560488 36 "Sitka_Coastal_Conifer_Forest"
419824 -122.44 49.05 92 0.49 "strong" 108 171.707608368636 1560494 36 "Sitka_Coastal_Conifer_Forest"
419882 -122.77 49.12 1 0.5 "strong" 199 185.053523474387 1560733 36 "Sitka_Coastal_Conifer_Forest"
419918 -122.84 49.17 48 0.5 "strong" 152 191.916124209159 1560881 36 "Sitka_Coastal_Conifer_Forest"
148884 -121.77 47.84 52 0.5 "strong" 148 39.8074031203034 477383 32 "Cascade-Sierran_Montane_Conifer_Forest"
419858 -122.06 49.08 1 0.5 "strong" 199 172.397910242287 1560637 36 "Sitka_Coastal_Conifer_Forest"
150263 -122 48.05 72 0.5 "strong" 128 57.907921331279 482899 31 "Oregonian_Coastal_Conifer_Forest"
419857 -122.08 49.08 1 0.51 "strong" 199 172.420567060608 1560636 36 "Sitka_Coastal_Conifer_Forest"
419940 -122.92 49.2 45 0.51 "strong" 155 196.978102120446 1560972 36 "Sitka_Coastal_Conifer_Forest"
419822 -122.52 49.05 116 0.51 "strong" 84 172.846463224321 1560489 36 "Sitka_Coastal_Conifer_Forest"
419884 -122.61 49.12 3 0.51 "strong" 197 181.911222049134 1560743 36 "Sitka_Coastal_Conifer_Forest"
149823 -122.7 46.31 131 0.51 "strong" 69 144.757136565078 481113 31 "Oregonian_Coastal_Conifer_Forest"
150334 -122.13 48.53 184 0.51 "strong" 16 111.45205687486 483163 31 "Oregonian_Coastal_Conifer_Forest"
149822 -122.74 46.31 153 0.51 "strong" 47 145.851783849655 481112 31 "Oregonian_Coastal_Conifer_Forest"
419895 -122.85 49.13 83 0.52 "strong" 117 187.938134319329 1560781 36 "Sitka_Coastal_Conifer_Forest"
419979 -123.58 49.4 34 0.52 "strong" 166 237.299486202633 1561146 36 "Sitka_Coastal_Conifer_Forest"
417193 -122.86 49.18 62 0.52 "strong" 138 193.435074157516 1549938 36 "Sitka_Coastal_Conifer_Forest"
149863 -122.39 46.49 185 0.52 "strong" 15 118.703288501256 481266 31 "Oregonian_Coastal_Conifer_Forest"
417152 -121.94 49.06 94 0.52 "strong" 106 170.307675845906 1549780 36 "Sitka_Coastal_Conifer_Forest"
419878 -122.26 49.1 1 0.52 "strong" 199 175.410723530735 1560702 36 "Sitka_Coastal_Conifer_Forest"
419800 -122.54 49 56 0.52 "strong" 144 167.741782087185 1560374 36 "Sitka_Coastal_Conifer_Forest"
419880 -121.95 49.1 28 0.53 "strong" 172 174.724172051479 1560715 36 "Sitka_Coastal_Conifer_Forest"
150293 -122.04 48.13 108 0.53 "strong" 92 66.7468328670419 483003 31 "Oregonian_Coastal_Conifer_Forest"
419928 -122.92 49.18 1 0.54 "strong" 199 194.886635104328 1560927 36 "Sitka_Coastal_Conifer_Forest"
419846 -122.72 49.08 1 0.54 "strong" 199 179.729727871091 1560600 36 "Sitka_Coastal_Conifer_Forest"
419987 -123.63 49.43 172 0.54 "strong" 28 241.991923506404 1561175 36 "Sitka_Coastal_Conifer_Forest"
417280 -123.11 49.26 9 0.54 "strong" 191 208.232942731991 1550240 36 "Sitka_Coastal_Conifer_Forest"
419883 -122.67 49.12 48 0.54 "strong" 152 183.005812390324 1560739 36 "Sitka_Coastal_Conifer_Forest"
148859 -121.86 47.56 110 0.54 "strong" 90 13.5613353813502 477270 32 "Cascade-Sierran_Montane_Conifer_Forest"
419949 -122.95 49.21 100 0.54 "strong" 100 198.772112978302 1561014 36 "Sitka_Coastal_Conifer_Forest"
