Common_Name,Genus,Species,Variety,Subspecies,PLANTS_Code
tropical almond,Terminalia,sppNA,NA,NA,TERMI
superb terminalia,Terminalia,superba,NA,NA,TESU2
saintedwood,Ternstroemia,heptasepala,NA,NA,TEHE3
palo colorado,Ternstroemia,luquillensis,NA,NA,TELU2
copey vera,Ternstroemia,peduncularis,NA,NA,TEPE
mamey de cura,Ternstroemia,stahlii,NA,NA,TEST3
el yunque colorado,Ternstroemia,subsessilis,NA,NA,TESU
masa,Tetragastris,balsamifera,NA,NA,TEBA
Flynnsohe,Tetraplasandra,flynnii,NA,NA,TEFL5
Koolau Rangeohe,Tetraplasandra,gymnocarpa,NA,NA,TEGY
Hawaii ohe,Tetraplasandra,hawaiensis,NA,NA,TEHA2
ohe ohe,Tetraplasandra,kavaiensis,NA,NA,TEKA3
ohe mauka,Tetraplasandra,oahuensis,NA,NA,TEOA
MtNA Waialeale ohe,Tetraplasandra,waialealae,NA,NA,TEWA
ohe kiko ola,Tetraplasandra,waimeae,NA,NA,TEWA3
stinkingfish,Tetrazygia,angustifolia,NA,NA,TEAN2
Florida clover ash,Tetrazygia,bicolor,NA,NA,TEBI
Puerto Rico clover ash,Tetrazygia,biflora,NA,NA,TEBI2
krekre,Tetrazygia,elaeagnoides,NA,NA,TEEL
cenizo,Tetrazygia,urbanii,NA,NA,TEUR
cacao,Theobroma,cacao,NA,NA,THCA
maga,Thespesia,grandiflora,NA,NA,THGR2
Portia tree,Thespesia,populnea,NA,NA,THPO3
luckynut,Thevetia,peruviana,NA,NA,THPE3
ceboruquillo,Thouinia,striata,NA,NA,THST2
Puerto Rico ceboruquillo,Thouinia,striata,portoricensis,NA,THSTP
key thatch palm,Thrinax,morrisii,NA,NA,THMO4
Florida thatch palm,Thrinax,radiata,NA,NA,THRA2
northern white-cedar,Thuja,occidentalis,NA,NA,THOC2
western redcedar,Thuja,plicata,NA,NA,THPL
Brazilian glorytree,Tibouchina,granulosa,NA,NA,TIGR3
American basswood,Tilia,americana,NA,NA,TIAM
white basswood,Tilia,americana,heterophylla,NA,TIAMH
Carolina basswood,Tilia,americana,caroliniana,NA,TIAMC
littleleaf linden,Tilia,cordata,NA,NA,TICO2
Silver linden,Tilia,tomentosa,NA,NA,TITO
Timonius albus,Timonius,albus,NA,NA,TIAL2
Timonius corymbosus,Timonius,corymbosus,NA,NA,TICO7
NA,Timonius,ledermannii,NA,NA,TILE4
Timonius mollis,Timonius,mollis,NA,NA,TIMO4
NA,Timonius,ponapensis,NA,NA,TIPO5
Timonius,Timonius,sppNA,NA,NA,TIMON
Timonius subauritus,Timonius,subauritus,NA,NA,TISU3
Timonius timon,Timonius,timon,NA,NA,TITI
tipa,Tipuana,tipu,NA,NA,TITI2
