"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_fia" "ABAM" "ABCO" "ABGR" "ABPR" "CHLA" "CHNO" "CADE27" "PISI" "PIAT" "PICO" "PILA" "PIMO3" "PIPO" "PSME" "SESE3" "TABR2" "THPL" "TOCA" "TSHE" "TSME" "POTR5" "POBAT" "QUGA4"
578097 -122.76 44.79 198 1 "under_thresh" 2 309.638561673811 78097 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
586872 -122.69 46.3 170 1 "under_thresh" 30 145.537404970645 86872 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
579246 -122.75 44.98 266 1 "under_thresh" -66 288.731235387252 79246 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
571945 -122.72 43.93 335 1.01 "under_thresh" -135 403.629989066639 71945 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0
581207 -122.53 45.3 183 1.01 "under_thresh" 17 250.761113278221 81207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
577562 -122.7 44.7 152 1.01 "under_thresh" 48 318.707039927866 77562 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
585665 -122.73 46.09 180 1.01 "under_thresh" 20 168.619143405887 85665 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0
575491 -122.68 44.4 183 1.01 "under_thresh" 17 351.444171953509 75491 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
573615 -122.47 44.15 366 1.01 "under_thresh" -166 377.166139340626 73615 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
572747 -122.59 44.03 430 1.03 "under_thresh" -230 391.369750871742 72747 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0
573686 -122.24 44.16 369 1.03 "under_thresh" -169 374.875978807337 73686 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0
585206 -122.69 46 210 1.03 "under_thresh" -10 177.268112726234 85206 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
571217 -122.69 43.84 369 1.04 "under_thresh" -169 413.254789705415 71217 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
573129 -122.75 44.08 244 1.04 "under_thresh" -44 387.433526725888 73129 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
586907 -122.72 46.31 150 1.04 "under_thresh" 50 145.297506758029 86907 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
584531 -122.66 45.88 210 1.04 "under_thresh" -10 189.522973986049 84531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
586956 -122.72 46.32 180 1.04 "under_thresh" 20 144.258994109269 86956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
577872 -122.77 44.75 183 1.05 "under_thresh" 17 314.153588558156 77872 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
572138 -122.68 43.95 274 1.05 "under_thresh" -74 401.024838560713 72138 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0
573266 -122.82 44.1 274 1.05 "under_thresh" -74 386.054839438287 73266 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
579302 -122.66 44.99 152 1.05 "under_thresh" 48 286.39060890663 79302 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
570903 -122.63 43.8 430 1.06 "under_thresh" -230 417.122366986688 70903 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
