"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_biome" "zone" "biome_description"
149424 -122.87 44.18 417 1.12 "under_thresh" -217 377.919762085957 479583 31 "Oregonian_Coastal_Conifer_Forest"
148440 -122.74 43.8 514 1.12 "under_thresh" -314 418.16132911464 475476 32 "Cascade-Sierran_Montane_Conifer_Forest"
149658 -122.52 45.53 98 1.12 "under_thresh" 102 225.387705395194 480490 31 "Oregonian_Coastal_Conifer_Forest"
148463 -122.47 43.94 513 1.13 "under_thresh" -313 400.416565640105 475555 32 "Cascade-Sierran_Montane_Conifer_Forest"
149862 -122.61 46.49 125 1.13 "under_thresh" 75 123.590724805192 481261 31 "Oregonian_Coastal_Conifer_Forest"
148412 -122.7 43.66 547 1.14 "under_thresh" -347 433.210023286121 475398 32 "Cascade-Sierran_Montane_Conifer_Forest"
149482 -122.91 44.45 299 1.14 "under_thresh" -99 348.961248726075 479789 31 "Oregonian_Coastal_Conifer_Forest"
149774 -122.83 46.05 173 1.14 "under_thresh" 27 175.346574228632 480939 31 "Oregonian_Coastal_Conifer_Forest"
148867 -121.91 47.65 12 1.15 "under_thresh" 188 16.3274644254072 477305 32 "Cascade-Sierran_Montane_Conifer_Forest"
149867 -123.13 46.53 70 1.15 "under_thresh" 130 138.870994830223 481291 31 "Oregonian_Coastal_Conifer_Forest"
148663 -122.42 45.89 150 1.15 "under_thresh" 50 184.645032112439 476390 32 "Cascade-Sierran_Montane_Conifer_Forest"
149303 -123.13 43.49 466 1.15 "under_thresh" -266 457.054016400186 479063 31 "Oregonian_Coastal_Conifer_Forest"
149809 -122.83 46.27 158 1.15 "under_thresh" 42 152.592916545565 481077 31 "Oregonian_Coastal_Conifer_Forest"
148372 -122.84 43.38 592 1.15 "under_thresh" -392 465.47663053269 475204 32 "Cascade-Sierran_Montane_Conifer_Forest"
149336 -123.09 43.71 369 1.15 "under_thresh" -169 432.431803518076 479210 31 "Oregonian_Coastal_Conifer_Forest"
149284 -123.09 43.36 525 1.16 "under_thresh" -325 470.708755963966 478980 31 "Oregonian_Coastal_Conifer_Forest"
149801 -123.13 46.22 78 1.17 "under_thresh" 122 167.84409231778 481048 31 "Oregonian_Coastal_Conifer_Forest"
148856 -121.91 47.51 130 1.17 "under_thresh" 70 9.62914602531186 477253 32 "Cascade-Sierran_Montane_Conifer_Forest"
